냉동,냉동 농산물,식물성,"뿔나팔버섯(자실체,냉동)",A0703800000000025200
냉동,냉동 농산물,식물성,"송로버섯(자실체,냉동)",A0703900000000025200
냉동,냉동 농산물,식물성,"큰전나무버섯(자실체,냉동)",A0704500000000025200
냉동,냉동 농산물,식물성,"풀버섯(자실체,냉동)",A0704600000000025200
냉동,냉동 농산물,식물성,"신령버섯(자실체,냉동)",A0705400000000025200
냉동,냉동 농산물,식물성,"곰보버섯(자실체,냉동)",A0705500000000025200
냉동,냉동 농산물,식물성,"노루털버섯(자실체,냉동)",A07ZZH00000000025200
냉동,냉동 농산물,식물성,"대리석덩이버섯(자실체,냉동)",A07ZZK00000000025200
냉동,냉동 농산물,식물성,흰서양송로(냉동),A07ZZL00000000020000
냉동,냉동 농산물,식물성,"흰굴뚝버섯(자실체,냉동)",A07ZZN00000000025200
냉동,냉동 농산물,식물성,"흰꾀꼬리버섯(자실체,냉동)",A07ZZW00000000025200
냉동,냉동 농산물,식물성,"꾀꼬리그물버섯(자실체,냉동)",A07ZZX00000000025200
냉동,냉동 농산물,식물성,"밤버섯(자실체,냉동)",A07ZZY00000000025200
냉동,냉동 농산물,식물성,"레몬그라스(잎,냉동)",A0803800600000024900
냉동,냉동 농산물,식물성,"레몬그라스(줄기,냉동)",A0803800600000025800
냉동,냉동 농산물,식물성,"바질(잎,냉동)",A0803800700000024900
냉동,냉동 농산물,식물성,"판다누스(잎,냉동)",A08038ZZC00000024900
냉동,냉동 농산물,식물성,"카피르 라임(잎,냉동)",A08038ZZE00000024900
냉동,냉동 농산물,식물성,"히비스커스(꽃,냉동)",A08038ZZO00000020800
냉동,냉동 농산물,식물성,"산초(열매,냉동)",A0803900400000024700
냉동,냉동 농산물,식물성,"후추(열매,냉동)",A0803900800000024700
냉동,냉동 농산물,식물성,"쿠민(씨앗,냉동)",A0804001000000023600
냉동,냉동 농산물,식물성,"울금(덩이뿌리,냉동)",A08041ZZY00000021800
냉동,냉동 농산물,식물성,"Galanga galangal(뿌리줄기,냉동)",A08041ZZZ00000022500
냉동,냉동 농산물,식물성,갈래곰보(냉동),A1100100000000020000
냉동,냉동 농산물,식물성,김(냉동),A1100400000000020000
냉동,냉동 농산물,식물성,다시마(냉동),A1100600000000020000
냉동,냉동 농산물,식물성,"다시마(자숙,냉동)",A1100600000000020029
냉동,냉동 농산물,식물성,미역(냉동),A1101200000000020000
냉동,냉동 농산물,식물성,"미역(귀,냉동)",A1101200000000027100
냉동,냉동 농산물,식물성,미끈가지(냉동),A1102200000000020000
냉동,냉동 농산물,식물성,큰실말(냉동),A11ZS000000000020000
냉동,냉동 농산물,식물성,"사탕수수(줄기,냉동)",A1200100000000025800
냉동,냉동 농산물,식물성,"게박쥐나물(순,냉동)",A1204500000000023300
냉동,냉동 농산물,식물성,"들쭉나무(열매,냉동)",A1208200000000024700
냉동,냉동 농산물,식물성,"랑삿(열매,냉동)",A1208600000000024700
냉동,냉동 농산물,식물성,"시계꽃(잎,냉동)",A1215900000000024900
냉동,냉동 농산물,식물성,"아티초크(꽃봉오리,냉동)",A1216900000000021300
냉동,냉동 농산물,식물성,"알로에(잎,냉동)",A1217000000000024900
냉동,냉동 농산물,식물성,"연/연자육(씨앗,냉동)",A1218400000000023600
냉동,냉동 농산물,식물성,"연/하엽(잎,냉동)",A1218400000000024900
냉동,냉동 농산물,식물성,"오갈피나무/오가피(껍질,냉동)",A1218600000000020600
냉동,냉동 농산물,식물성,"왕느릅나무/유백피(나무껍질,냉동)",A1219000000000021600
냉동,냉동 농산물,식물성,"삽주(백출)(뿌리줄기,냉동)",A1229000000000022500
냉동,냉동 농산물,식물성,"옥수수수염/옥촉서예(암술대,냉동)",A1229800000000023900
냉동,냉동 농산물,식물성,"동아(열매,냉동)",A1238700000000024700
냉동,냉동 농산물,식물성,제비집(냉동),A1246300000000020000
냉동,냉동 농산물,식물성,"살라크열매(열매,냉동)",A1247800000000024700
냉동,냉동 농산물,식물성,"목별(열매,냉동)",A1248100000000024700
냉동,냉동 농산물,식물성,"댕댕이나무(열매,냉동)",A1249000000000024700
냉동,냉동 농산물,식물성,"티즐 고어드(열매,냉동)",A12ZYZ00000000024700
냉동,냉동 농산물,식물성,"바나나(잎,냉동)",A12ZZI00000000024900
냉동,냉동 농산물,식물성,"산골취(잎,냉동)",A12ZZN00000000024900
냉동,냉동 농산물,식물성,"세이터(열매,냉동)",A12ZZU00000000024700
밀,밀,식물성,밀(씨앗),A0100300000000003600
밀,밀,식물성,메밀(씨앗),A0100400000000003600
밀,밀,식물성,호밀(씨앗),A0100900000000003600
밀,밀,식물성,"바라밀(열매,건조)",A0500502800000014700
밀,밀,식물성,"바라밀(열매,냉동)",A0500502800000024700
밀,밀,식물성,"바라밀(열매,신선)",A0500502800000034700
밀,밀,식물성,밀리타리스 동충하초(건조),A07ZZZ00000000010000
밀,밀,식물성,밀리타리스 동충하초(신선),A07ZZZ00000000030000
밀,밀,식물성,"밀크씨슬(씨앗,건조)",A08040ZZW00000013600
밀,밀,식물성,"약모밀/어성초(지상부,건조)",A1229600000000016000
메밀,메밀,식물성,메밀(씨앗),A0100400000000003600
호밀,호밀,식물성,호밀(씨앗),A0100900000000003600
옥수수,옥수수,식물성,옥수수(씨앗),A0100700000000003600
옥수수,옥수수,식물성,"옥수수(씨앗,냉동)",A0100700000000023600
옥수수,옥수수,식물성,"옥수수수염/옥촉서예(암술대,건조)",A1229800000000013900
옥수수,옥수수,식물성,"옥수수수염/옥촉서예(암술대,냉동)",A1229800000000023900
옥수수,옥수수,식물성,"옥수수수염/옥촉서예(암술대,신선)",A1229800000000033900
추출물,건강기능식품 및 원료,건강기능식품,녹차추출물,E0200600000000000000
추출물,건강기능식품 및 원료,건강기능식품,프로폴리스추출물,E0200800000000000000
추출물,건강기능식품 및 원료,건강기능식품,구아바잎 추출물,E0201100000000000000
추출물,건강기능식품 및 원료,건강기능식품,바나바잎 추출물,E0201200000000000000
추출물,건강기능식품 및 원료,건강기능식품,은행잎 추출물,E0201300000000000000
추출물,건강기능식품 및 원료,건강기능식품,밀크씨슬(카르두스 마리아누스) 추출물,E0201400000000000000
추출물,건강기능식품 및 원료,건강기능식품,달맞이꽃종자 추출물,E0201500000000000000
추출물,건강기능식품 및 원료,건강기능식품,매실추출물,E0202300000000000000
추출물,건강기능식품 및 원료,건강기능식품,가르시니아캄보지아 추출물,E0202500000000000000
추출물,건강기능식품 및 원료,건강기능식품,헤마토코쿠스 추출물,E0202700000000000000
