importer,total_count,product_category_summary_sorted,product_category_actual_sorted
에쓰푸드(주),1364,"돼지고기 ,소고기 ,닭고기 ,소스,과채가공품","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,정육(뼈없는것),소고기정육/지육),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,횡격막,소부산물),닭고기(냉동,다리,닭고기정육/지육),닭고기(냉동,가슴,닭고기정육/지육),돼지고기(기타,돼지고기부산물),소스,돼지고기(냉동,지방,돼지고기부산물),돼지고기(냉동,머리,돼지고기부산물),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,정육(뼈있는것),소고기정육/지육),과.채가공품"
한국암웨이(주),1350,"영양소/기능성복합제품,복합영양소제품,건강기능식품용 유지 ,건강기능식품용 추출물 ,엠에스엠,건강기능식품용 올리고당 ,올리브유","영양소,기능성복합제품,복합영양소제품,쏘팔메토열매추출물등복합물(제2008-79호),은행잎 추출물,감마리놀렌산 함유 유지,키토산/키토올리고당,옥타코사놀 함유 유지,올리브유,EPA 및 DHA 함유 유지"
(주)비티스,1327,과실주,과실주
(주)선인,1309,"초콜릿 ,과채가공품,버터 ,빵류,과자,식물성크림/ 유크림 ,견과 ,당류가공품,치즈 ,두류가공품,밀가루 ,과.채주스,만두 ,소스,당근 ,양배추 ,양파 ,올리브유,우유 ","과.채가공품,초콜릿,빵류,준초콜릿,과자,버터,땅콩 또는 견과류가공품,당류가공품,가공유크림,화이트초콜릿,두류가공품,밀크초콜릿,자연치즈,식물성크림,밀가루,초콜릿가공품,과.채주스,만두,땅콩버터,소스,가공치즈,당근(뿌리,냉동),코코아버터,양배추(잎,냉동),양파(냉동),올리브유,치즈,캐슈(견과,건조),우유"
(주)동원에프앤비,1253,"돼지고기 ,치즈 ,과채가공품,두류가공품,분유 ,식물성크림/ 유크림 ,견과 ,닭고기 ,기타 수산물가공품","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),자연치즈,돼지고기(냉동,지방,돼지고기부산물),과.채가공품,두류가공품,혼합분유,유크림,땅콩 또는 견과류가공품,치즈,탈지분유,가공치즈,닭고기(냉동,가슴,닭고기정육/지육),기타 수산물가공품,닭고기(냉동,다리,닭고기정육/지육)"
(주)혜성프로비젼,1231,"소고기 ,돼지고기 ","소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉장,횡격막,소부산물),소고기(냉장,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,장,소부산물),소고기(냉동,기타,소부산물),돼지고기(냉동,머리,돼지고기부산물),돼지고기(냉장,정육(뼈없는것),돼지고기정육/지육),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,건,소부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,위,소부산물),소고기(냉동,꼬리,소부산물),소고기(냉동,머리,소부산물),돼지고기(냉동,장,돼지고기부산물),돼지고기(기타,돼지고기부산물),소고기(냉동,심장,소부산물),소고기(냉동,지방,소부산물)"
(주)엘에프 푸드,1211,"소스,빵류,기타 수산물가공품,과채가공품,토마토캐첩/ 마요네즈,과자,소금 ","소스,빵류,기타 수산물가공품,청국장,과.채가공품,건면,어묵,숙면,마요네즈,과자,가공소금"
주식회사 케이미트,1156,"돼지고기 ,소고기 ,닭고기 ","돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),돼지고기(냉동,발,돼지고기부산물),돼지고기(기타,돼지고기부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,건,소부산물),닭고기(냉동,다리,닭고기정육/지육),돼지고기(냉동,장,돼지고기부산물),소고기(냉장,횡격막,소부산물),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉장,정육(뼈있는것),소고기정육/지육),소고기(냉동,머리,소부산물),소고기(냉동,꼬리,소부산물),소고기(냉동,기타,소부산물)"
"대상네트웍스 주식회사(DAESANG Networks Co., Ltd.)",1141,"닭고기 ,소고기 ,돼지고기 ","닭고기(냉동,다리,닭고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),소고기(냉동,머리,소부산물),소고기(냉동,기타,소부산물),돼지고기(냉동,지방,돼지고기부산물),소고기(냉동,정육(뼈없는것),소고기정육/지육),닭고기(냉동,발,닭고기부산물),돼지고기(냉동,장,돼지고기부산물),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,건,소부산물),소고기(냉동,위,소부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,꼬리,소부산물),닭고기(냉동,가슴,닭고기정육/지육),돼지고기(냉동,목,돼지고기부산물),돼지고기(냉동,머리,돼지고기부산물),돼지고기(냉동,기타,돼지고기부산물),염소고기(냉동,지육,염소육 및 부산물)"
오케이미트(주),1130,"소고기 ,돼지고기 ,닭고기 ","소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉장,횡격막,소부산물),소고기(냉장,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,장,소부산물),닭고기(냉동,다리,닭고기정육/지육),소고기(냉동,머리,소부산물),소고기(냉동,꼬리,소부산물),소고기(냉동,횡격막,소부산물),돼지고기(냉장,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,위,소부산물),소고기(냉동,기타,소부산물),소고기(냉동,지방,소부산물)"
화인에프앤드비서비스(주),1113,"치즈 ,버터 ,잼 ,빵류,과자,소스,식물성크림/ 유크림 ,과.채주스,과채가공품,만두 ,소금 ,기타 수산물가공품,발효유 ,당류가공품,올리브유,초콜릿 ","치즈,버터,가공치즈,자연치즈,잼,빵류,과자,소스,과.채주스,과.채가공품,만두,가공유크림,가공소금,기타 수산물가공품,유크림,농후발효유,올리브유,모조치즈,당류가공품,정제소금,초콜릿가공품"
