가공식품,(주)루벵코리아,쿠모리버 빌리지 샤도네이,KUMEU RIVER VILLAGE CHARDONNAY,과실주,KUMEU RIVER WINES LIMITED,2023-08-31,-,뉴질랜드,뉴질랜드
가공식품,(주)루벵코리아,쿠모리버 빌리지 피노 누아,KUMEU RIVER VILLAGE PINOT NOIR,과실주,KUMEU RIVER WINES LIMITED,2023-08-31,-,뉴질랜드,뉴질랜드
가공식품,신동와인(주),샤또 뽕떼 까네,CHATEAU PONTET CANET,과실주,CHATEAU PONTET CANET,2023-08-31,-,프랑스,프랑스
가공식품,주식회사 레뱅,산타아니타 글루바인,SANTA ANITA GLUHWEIN,과실주,LEONARD KREUSCH GMBH &amp; CO.,2023-08-31,-,독일,독일
가공식품,에노테카코리아(주),와인컵 샤르도네 (12%) (187 mL) [ L. 164/23 ],WINE CUP CHARDONNAY,과실주,CANTINA VITICOLTORI PONTE DI PIAVE,2023-08-31,-,이탈리아,이탈리아
가공식품,주식회사 신세계엘앤비,프레스코발디 카스텔지오콘도 브루넬로 디 몬탈치노 리제르바,RIPE AL CONVENTO BRUNELLO DI MONTALCINO RISERVA,과실주,TENUTE DI TOSCANA DISTRIBUZIONE S.R.L.,2023-08-31,-,이탈리아,이탈리아
가공식품,(주)비노쿠스,리취 뚜 블랑,RIETSCH TOUT BLANC,과실주,EARL RIETSCH,2023-08-31,-,프랑스,프랑스
가공식품,(주)비노쿠스,리취 뚜 루즈,RIETSCH TOUT ROUGE,과실주,EARL RIETSCH,2023-08-31,-,프랑스,프랑스
가공식품,나라셀라 주식회사,샤또 라피트 로칠드 20,CHATEAU LAFITE ROTHSCHILD,과실주,SC DU CHATEAU LAFITE ROTHSCHILD,2023-08-31,2022-06-21 ~ ,프랑스,프랑스
가공식품,에노테카코리아(주),와인컵 메를로 (12%) (187 mL) [ L. 167/23 ],WINE CUP MERLOT,과실주,CANTINA VITICOLTORI PONTE DI PIAVE,2023-08-31,-,이탈리아,이탈리아
가공식품,롯데쇼핑(주)롯데마트사업본부,바삭한 쌀과자,CRISPY RICE CRACKER,과자,RICHY FOOD NORTHERN JOINT STOCK COMPANY,2023-08-31,2023-08-01 ~ 2024-07-31,베트남,베트남
가공식품,(주)비노쿠스,리취 깡르샤네빠라,QUAND LE CHAT NEST PASLA,과실주,EARL RIETSCH,2023-08-31,-,프랑스,프랑스
가공식품,(주)투데이,비파핑거비스킷,BIFA FINGER BISKUVI,과자,BIFA BISKUVI VE GIDA SAN A.S.,2023-08-31, ~ 2025-01-07,튀르키예,튀르키예
가공식품,신동와인(주),샤또 라 가플리에르,CHATEAU LA GAFFELIERE,과실주,CHATEAU LA GAFFELIERE,2023-08-31,-,프랑스,프랑스
가공식품,신동와인(주),샤또 오바따이(LHB20132B),CHATEAU HAUT-BATAILLEY,과실주,CHATEAU HAUT BATAILLEY,2023-08-31,-,프랑스,프랑스
가공식품,(주)비노쿠스,리취 드무와젤,DEMOISELLE,과실주,EARL RIETSCH,2023-08-31,-,프랑스,프랑스
가공식품,(주)오성물산코리아,허니눈꽃쌀과자(920G),HONEY SNOW FLOWER RICE CRACKER,과자,TRANGAN 2 CONFECTIONERY JOINT STOCK COMPANY-VIETNAM,2023-08-31,2023-08-03 ~ 2024-08-03,베트남,베트남
가공식품,(주)투데이,프리미엄 프레첼,PREMIUM PRETZEL,과자,BIFA BISKUVI VE GIDA SAN A.S.,2023-08-31, ~ 2025-01-05,튀르키예,튀르키예
가공식품,(주)비노쿠스,리취 레 망 리브르,LES MAINS LIBRES,과실주,EARL RIETSCH,2023-08-31,-,프랑스,프랑스
